province_code,province_name,city,site_name,latitude,longitude,medium,contamination_type,contamination_group,site_count,cost_min_cad_per_tonne,cost_max_cad_per_tonne,cost_mid_cad_per_tonne,city_adjusted_mid_cad_per_tonne
ON,Ontario,Ottawa,80 Bayview Main Building,45.408637,-75.726977,Groundwater,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,80 Bayview Shed,45.407989,-75.727162,Groundwater,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,80 Bayview Shed 2,45.408234,-75.726707,Groundwater,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,90 Bayview Rd,45.408126,-75.726464,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,979 Heron Rd (Sawmill Creek West),45.378876,-75.678583,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,979 Heron Rd (Sawmill Creek West),45.378876,-75.678583,Surface water,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,979 Heron Rd (Sawmill Creek West),45.378876,-75.678583,Surface water,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Anderson Rd (North Of Russell),45.379455,-75.539665,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Anderson Rd (North Of Russell),45.379455,-75.539665,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Anderson Rd (North Of Russell),45.379455,-75.539665,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Area T-99 (TC Aviation Services),45.322612,-75.660009,Not Available,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Area T-99 (TC Aviation Services),45.322612,-75.660009,Not Available,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Areas U-61 and U-62 (NRCan sublease),45.326082,-75.665352,Not Available,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
