province_code,province_name,city,site_name,latitude,longitude,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
QC,Quebec,Montreal,Outside Building B,45.514878,-73.660694,1,Industrial Acids/Solvents,Halogenated Hydrocarbon,1,450,900,675
QC,Quebec,Montreal,Parcel 1,45.480931,-73.538748,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PCBs (Polychlorinated Biphenyl) and PCDD/Fs (polychlorinated dibenzo-p-dioxin/dibenzofuran) | PHCs (petroleum hydrocarbons)",8,180,280,230
QC,Quebec,Montreal,Parcel 2,45.472620,-73.553790,1,Unknown,"Metal, metalloid, and organometallic",2,,,
QC,Quebec,Montreal,Parcel 3,45.472620,-73.553790,1,Unknown,"Metal, metalloid, and organometallic",2,,,
QC,Quebec,Montreal,Parcel 4,45.472620,-73.553790,1,Unknown,"Metal, metalloid, and organometallic",2,,,
QC,Quebec,Montreal,Parking - South Section (Notre Dame) ASU LP,45.576000,-73.526000,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,230
QC,Quebec,Montreal,"Parking at south L-6, ASU LP",45.576000,-73.526000,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,230
QC,Quebec,Montreal,Pont Clément,45.475205,-73.541583,2,Unknown | Oil/Petroleum (PHCs),"Other inorganics | BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",4,180,280,230
QC,Quebec,Montreal,Prairies River at Cheval Blanc Rapids,45.518300,-73.842500,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,Putting drain arnd bldg L-42,45.574200,-73.519000,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,"Rene-Levesque Boulevard, North of HWY 15, Nun's Island",45.471000,-73.542000,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,230
QC,Quebec,Montreal,"Rene-Levesque Boulevard, South of HWY 15, Nun's Island",45.469004,-73.535153,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,230
QC,Quebec,Montreal,"Sector Slag Studies, ASU LP",45.576700,-73.521900,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,230
QC,Quebec,Montreal,Site 01.1,45.430100,-73.677550,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",5,180,280,230
QC,Quebec,Montreal,Site 01.2,45.432098,-73.679543,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",8,180,280,230
QC,Quebec,Montreal,Site 01.3,45.430801,-73.670532,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | Other organics | PAHs (polycyclic aromatic hydrocarbon)",5,180,280,230
QC,Quebec,Montreal,Site 02.1,45.431000,-73.666191,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",4,180,280,230
QC,Quebec,Montreal,Site 02.2.0,45.431314,-73.668306,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,Site 02.3,45.431599,-73.665421,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
