province_code,city,site_name,latitude,longitude,sand_score,clay_score,drainage_score,organic_score,score_formula,final_percentage
QC,Montreal,Site 10.6,45.464802,-73.595673,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 11.1,45.468102,-73.588188,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 11.2,45.467700,-73.589289,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 11.3,45.468900,-73.586580,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 11.4,45.467304,-73.588348,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 11.5,45.470299,-73.584038,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 11.6,45.469803,-73.583229,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 11.7,45.468300,-73.585808,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 12.2,45.472599,-73.581520,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.1.1,45.472900,-73.579803,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.1.2,45.473701,-73.579208,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.1.3,45.477001,-73.575653,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
