source_dataset,source_category,source_site_id,province_code,province_name,city,site_name,site_type,latitude,longitude,area_sqm,former_use,contamination_level,soil_suitability,transit_distance_m,infrastructure_readiness,activity_status,viability_score,estimated_units,estimated_remediation_cad,recommended_form,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-34699456,ON,Ontario,Hamilton,Hamilton Parking Lot 1421,parking_lot,43.26540405,-79.9435662833333,2638,surface parking,medium,73,108,88,likely_active,16,50,659500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-35926882,ON,Ontario,Hamilton,Hamilton Parking Lot 1423,parking_lot,43.29538408,-79.79333978,1200,surface parking,medium,73,400,88,likely_active,8,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-36311252,ON,Ontario,Hamilton,Hamilton Parking Lot 1424,parking_lot,43.25568894,-79.93302914,1200,surface parking,medium,73,188,88,likely_active,12,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-41072335,ON,Ontario,Hamilton,Hamilton Parking Lot 1427,parking_lot,43.217246225,-80.00739805,2852,surface parking,medium,73,1460,88,likely_active,4,54,713000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-41072336,ON,Ontario,Hamilton,Hamilton Parking Lot 1428,parking_lot,43.21867081,-80.0084783,5378,surface parking,medium,73,1566,88,likely_active,6,102,1344500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-48973071,ON,Ontario,Hamilton,Hamilton Parking Lot 1432,parking_lot,43.3199583111111,-79.8007044222222,2050,surface parking,medium,73,29,88,likely_active,16,39,512500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-48975161,ON,Ontario,Hamilton,Hamilton Parking Lot 1433,parking_lot,43.25290894,-79.75901512,2560,surface parking,medium,73,1139,88,likely_active,4,48,640000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-48975562,ON,Ontario,Hamilton,Hamilton Parking Lot 1434,parking_lot,43.24514744,-79.74743704,16822,surface parking,medium,73,699,88,likely_active,12,318,4205500,mid-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-48975563,ON,Ontario,Hamilton,Hamilton Parking Lot 1435,parking_lot,43.24629078,-79.7505301,27186,surface parking,medium,73,570,88,likely_active,18,514,6796500,mixed-use,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-95161999,ON,Ontario,Hamilton,Hamilton Parking Lot 1436,parking_lot,43.2732351833333,-79.8915144166667,4050,surface parking,medium,73,312,88,likely_active,9,77,1012500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-95162000,ON,Ontario,Hamilton,Hamilton Parking Lot 1437,parking_lot,43.26922248,-79.89098462,1200,surface parking,medium,73,244,88,likely_active,12,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-95162041,ON,Ontario,Hamilton,Hamilton Parking Lot 1438,parking_lot,43.2670123333333,-79.8920730666667,2785,surface parking,medium,73,243,88,likely_active,12,53,696250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-95162625,ON,Ontario,Hamilton,Hamilton Parking Lot 1439,parking_lot,43.2628762428571,-79.8844859857143,1200,surface parking,medium,73,126,88,likely_active,16,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-95162630,ON,Ontario,Hamilton,Hamilton Parking Lot 1440,parking_lot,43.2645185777778,-79.9026142777778,1689,surface parking,medium,73,144,88,likely_active,16,32,422250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-97045176,ON,Ontario,Hamilton,Hamilton Parking Lot 1441,parking_lot,43.27234264,-79.85420968,2649,surface parking,medium,73,131,88,likely_active,16,50,662250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-97051928,ON,Ontario,Hamilton,Hamilton Parking Lot 1442,parking_lot,43.3229843714286,-79.9134034428571,1200,surface parking,medium,73,742,88,likely_active,4,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-97179155,ON,Ontario,Hamilton,Hamilton Parking Lot 1443,parking_lot,43.2565604428571,-79.9829426,1200,surface parking,medium,73,126,88,likely_active,16,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-98065564,ON,Ontario,Hamilton,Hamilton Parking Lot 1446,parking_lot,43.1928871235294,-79.9310890588235,465774,golf course repurpose,low,73,1749,88,likely_active,29,9781,41919660,mixed-use,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-98088426,ON,Ontario,Hamilton,Hamilton Parking Lot 1447,parking_lot,43.1875343,-79.929972575,1200,golf course repurpose,low,73,2072,88,likely_active,11,25,108000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-98684630,ON,Ontario,Hamilton,Hamilton Parking Lot 1448,parking_lot,43.3404097263158,-79.7900437157895,3134,surface parking,medium,73,375,88,likely_active,8,59,783500,low-rise,,,,,,,
